序号	物号	名称	英文名称	材料	重量(Kg)	计量单位	标准号	规格	颜色代码	原属产品号	参考件代号	备注	设计类型	制造方式	重要度	物料编码	标准成本	制造备注	每台件数
1	A0042-GS-D01-02-07	D01逆流下管箱内侧板B		Q245R	1.502	件				A0042									8
2	F502000200037	垫圈24		200 HV-5+3Zn	0.031	件	0-0001-2357-00						标准件						128
3	KLB-C600-DE-11	吊耳			12.39	件				A0021									128
4	A0042-GS-C01-01-05-00	C01顺流下横梁组件			29.708	件				A0042									96
5	A0042-GS-D02-02-01	D02逆流下管箱汇流管		20#无缝钢管	107.934	件				A0042									4
6	A0042-GS-D02-01-02-00	D02逆流右侧梁组件			231.23	件				A0042									4
7	A0042-GS-D02-01-00	D02逆流管束			2118.541	件				A0042									4
8	F501020200033	螺母M16		8-3	0.033	件	0-0001-2221-00						标准件						512
9	A0042-GS-02	顺流管板密封板B		Q245R	19	件				A0042									8
10	KLB-C600-ZCH-10	支撑盒85X74K		1060 合金	0.01	件				A0021								2007,12,3	12672
11	A0042-GS-C01-01-04	C01顺流下管板		Q245R	138.49	件				A0042									24
12	A0042-GS-C01-01-02-02	顺流C型梁加强版		Q235B	0.774	件				A0042									256
13	KLB-C670-CLJB-01	侧梁筋板			4.57	件				A0021								2007,12,3	16
14	A0042-GS-D01-02-05	D01逆流下管箱支撑圆管A φ25x347		20	0.399	件				A0042									24
15	A0042-GS-D01-00	D01逆流管束组件			2375.783	件				A0042									4
16	A0042-GS-C02-00	C02顺流管束组件			2392.207	件				A0042									8
17	KLB-C650-ZCCB-10	上横梁侧板			0.74	件				A0021									240
18	A0042-GS-D01-02-06	D01逆流下管箱下侧板		Q245R	25.713	件				A0042									8
19	A0042-GS-D02-01-03-00	D02逆流左侧梁组件			231.23	件				A0042									4
20	A0042-GS-C01-00	C01顺流管束组件			2393.411	件				A0042									2
21	A0042-GS-C03-00	C03顺流管束组件			2392.207	件				A0042									8
22	A0042-WG-CPG-04	双金属轧制翅片管			19.6	件				A0038									464
23	A0042-GS-D01-02-03	D01逆流下管箱内侧板A		Q245R	5.054	件				A0042									8
